setting,workflow,quality,method,cost,svr_percent,mean_latency,p95_latency,status,source
W1-Q1,workflow1,Q1,SkyFlow,1.6868229267271648,6.22,3750.5945212242223,6955.40135980191,INFEASIBLE,results/minp95_current_qbr030/workflow1_Q1/decomposition/selected_plan.json
W1-Q1,workflow1,Q1,SC,2.3563704049434353,52.20399999999999,3918.7785629164287,7267.4136572619545,optimal,results/minp95_current_qbr030/workflow1_Q1/single_cloud/selected_plan.json
W1-Q1,workflow1,Q1,Greedy,1.9493504415414924,90.12400000000001,4070.3812463133218,7554.639634867499,optimal,results/minp95_current_qbr030/workflow1_Q1/greedy/selected_plan.json
W1-Q1,workflow1,Q1,DPGM,1.6868229267271648,6.702,3753.651582020671,6961.532634549796,optimal,results/minp95_current_qbr030/workflow1_Q1/dpgm/selected_plan.json
W1-Q1,workflow1,Q1,MTGP,1.9284948414410834,49.488,3911.998973043796,7258.198421539227,optimal,results/minp95_current_qbr030/workflow1_Q1/mtgp/selected_plan.json
W1-Q2,workflow1,Q2,SkyFlow,6.06417035382211,0.8460000000000001,4512.827894818881,8490.272492015703,OPTIMAL,results/minp95_current_qbr030/workflow1_Q2/decomposition/selected_plan.json
W1-Q2,workflow1,Q2,SC,6.612359813574345,7.1739999999999995,4680.951597858793,8792.30568751478,optimal,results/minp95_current_qbr030/workflow1_Q2/single_cloud/selected_plan.json
W1-Q2,workflow1,Q2,Greedy,6.323958764530495,37.556,4893.98189382714,9205.254986543392,optimal,results/minp95_current_qbr030/workflow1_Q2/greedy/selected_plan.json
W1-Q2,workflow1,Q2,DPGM,6.064094529329264,10.522,4667.851693267758,8793.408683456335,optimal,results/minp95_current_qbr030/workflow1_Q2/dpgm/selected_plan.json
W1-Q2,workflow1,Q2,MTGP,6.326995672667029,34.472,4869.580295873686,9159.82602350817,optimal,results/minp95_current_qbr030/workflow1_Q2/mtgp/selected_plan.json
W1-Q3,workflow1,Q3,SkyFlow,17.807902731011264,4.334,5396.314267870649,10455.72262498446,INFEASIBLE,results/minp95_current_qbr030/workflow1_Q3/decomposition/selected_plan.json
W1-Q3,workflow1,Q3,SC,17.765543870918957,6.99,5479.457389242973,10602.496051556793,optimal,results/minp95_current_qbr030/workflow1_Q3/single_cloud/selected_plan.json
W1-Q3,workflow1,Q3,Greedy,17.543419308792483,24.764,5689.481311361104,11026.786727512497,optimal,results/minp95_current_qbr030/workflow1_Q3/greedy/selected_plan.json
W1-Q3,workflow1,Q3,DPGM,17.29121930944016,10.468,5503.730536609785,10656.247719916119,optimal,results/minp95_current_qbr030/workflow1_Q3/dpgm/selected_plan.json
W1-Q3,workflow1,Q3,MTGP,17.543419308792483,24.764,5689.481311361104,11026.786727512497,optimal,results/minp95_current_qbr030/workflow1_Q3/mtgp/selected_plan.json
W2-Q1,workflow2,Q1,SkyFlow,3.3967006623159977,2.92,3720.6574794858243,6958.890174261503,OPTIMAL,results/minp95_current_qbr030/workflow2_Q1/decomposition/selected_plan.json
W2-Q1,workflow2,Q1,SC,8.901925527376633,52.256,3912.298566750542,7314.641701557044,optimal,results/minp95_current_qbr030/workflow2_Q1/single_cloud/selected_plan.json
W2-Q1,workflow2,Q1,Greedy,3.652756820337252,90.27,4062.1365867922773,7601.904596665479,optimal,results/minp95_current_qbr030/workflow2_Q1/greedy/selected_plan.json
W2-Q1,workflow2,Q1,DPGM,3.3964724169434017,6.326,3744.8179109219254,7002.068965438232,optimal,results/minp95_current_qbr030/workflow2_Q1/dpgm/selected_plan.json
W2-Q1,workflow2,Q1,MTGP,3.82910860852043,59.096000000000004,3933.6492441740384,7352.10127048967,optimal,results/minp95_current_qbr030/workflow2_Q1/mtgp/selected_plan.json
W2-Q2,workflow2,Q2,SkyFlow,8.394268972562678,0.8059999999999999,4509.540043343962,8439.501709826558,OPTIMAL,results/minp95_current_qbr030/workflow2_Q2/decomposition/selected_plan.json
W2-Q2,workflow2,Q2,SC,14.079033102871236,7.282,4677.083143983447,8763.642584387897,optimal,results/minp95_current_qbr030/workflow2_Q2/single_cloud/selected_plan.json
W2-Q2,workflow2,Q2,Greedy,8.639624975887848,37.228,4890.062629685327,9161.376366639357,optimal,results/minp95_current_qbr030/workflow2_Q2/greedy/selected_plan.json
W2-Q2,workflow2,Q2,DPGM,8.394192720945158,10.5,4664.251995845241,8739.813999371583,optimal,results/minp95_current_qbr030/workflow2_Q2/dpgm/selected_plan.json
W2-Q2,workflow2,Q2,MTGP,9.559932236167986,37.228,4890.060934007179,9161.37280760004,optimal,results/minp95_current_qbr030/workflow2_Q2/mtgp/selected_plan.json
W2-Q3,workflow2,Q3,SkyFlow,21.289251977191018,4.218,5491.549347060653,10464.322058182817,INFEASIBLE,results/minp95_current_qbr030/workflow2_Q3/decomposition/selected_plan.json
W2-Q3,workflow2,Q3,SC,27.020514051850252,6.932,5576.880743845304,10635.344080121817,optimal,results/minp95_current_qbr030/workflow2_Q3/single_cloud/selected_plan.json
W2-Q3,workflow2,Q3,Greedy,21.061119999339134,24.471999999999998,5789.781253635461,11044.485922968803,optimal,results/minp95_current_qbr030/workflow2_Q3/greedy/selected_plan.json
W2-Q3,workflow2,Q3,DPGM,20.83258536577801,10.132,5596.14049115987,10681.775117728122,optimal,results/minp95_current_qbr030/workflow2_Q3/dpgm/selected_plan.json
W2-Q3,workflow2,Q3,MTGP,21.05927649528028,24.471999999999998,5789.781253635461,11044.485922968803,optimal,results/minp95_current_qbr030/workflow2_Q3/mtgp/selected_plan.json
